DATE,PREDICTED_CLOSE
2020-10-12,134.45
2020-10-13,130.95
2020-10-14,129.65
2020-10-15,128.30
2020-10-16,129.22
2020-10-19,132.25
2020-10-20,132.79
2020-10-21,129.96
2020-10-22,128.78
2020-10-23,129.82
2020-10-26,132.62
2020-10-27,131.21
2020-10-28,132.22
2020-10-29,131.23
2020-10-30,132.99
2020-11-02,133.44
2020-11-03,133.47
2020-11-04,134.12
2020-11-05,136.21
2020-11-06,135.96
2020-11-09,136.94
2020-11-10,136.00
2020-11-11,132.42
2020-11-12,131.38
2020-11-13,132.92
2020-11-16,132.90
2020-11-17,135.01
2020-11-18,134.30
2020-11-19,131.84
2020-11-20,135.22
2020-11-23,135.29
2020-11-24,136.79
2020-11-25,133.28
2020-11-26,126.19
2020-11-27,124.94
2020-11-30,123.46
2020-12-01,122.94
2020-12-02,122.74
2020-12-03,123.18
2020-12-04,124.65
2020-12-07,128.08
2020-12-08,129.41
2020-12-09,129.46
2020-12-10,126.28
2020-12-11,127.20
2020-12-14,129.08
2020-12-15,129.87
2020-12-16,131.66
2020-12-17,126.98
2020-12-18,121.56





